year,month,hemisphere,temp_k,temp_f,temp_c
1943,3,south,287.6929840418376,58.17737127530768,14.542984041837599
1943,4,north,286.9454457188279,56.831802293890256,13.79544571882792
1943,4,south,286.5326390763403,56.088750337412534,13.382639076340297
1943,5,north,290.09479452762844,62.50063014973123,16.94479452762846
1943,5,south,285.45930582253084,54.156750480555544,12.30930582253086
1943,6,north,292.3885765755302,66.62943783595436,19.238576575530203
1943,6,south,284.3346269981778,52.13232859672005,11.184626998177805
1943,7,north,293.8477247544922,69.25590455808603,20.697724754492242
1943,7,south,283.4038081394476,50.456854651005756,10.253808139447642
1943,8,north,293.8412131362014,69.2441836451626,20.69121313620144
1943,8,south,283.1059210097201,49.92065781749618,9.9559210097201
1943,9,north,291.8895133627613,65.73112405297039,18.73951336276133
