year,month,region,temp_k,temp_f,temp_c
1943,4,antarctic,244.24894083881267,-20.02190649013714,-28.901059161187305
1943,5,arctic,268.4137899972498,23.474821995049695,-4.73621000275017
1943,5,antarctic,241.79236120683726,-24.443749827692898,-31.35763879316272
1943,6,arctic,274.8501238984383,35.060223017189,1.700123898438335
1943,6,antarctic,240.23969738337158,-27.238544709931126,-32.9103026166284
1943,7,arctic,276.2938545778283,37.658938240091004,3.1438545778283356
1943,7,antarctic,237.30104275253285,-32.52812304544082,-35.848957247467126
1943,8,arctic,275.0534470118695,35.4262046213651,1.9034470118695026
1943,8,antarctic,237.3777411091831,-32.390066003470395,-35.772258890816886
1943,9,arctic,269.91721857916144,26.18099344249064,-3.232781420838535
1943,9,antarctic,240.6812655292323,-26.443722047381833,-32.468734470767686
