year,region,temp_k,temp_f,temp_c
1976,arctic,261.19834969843845,10.487029457189248,-11.951650301561529
1976,antarctic,245.9833678583245,-16.899937855015864,-27.16663214167548
1977,arctic,261.0409513012199,10.203712342195821,-12.1090486987801
1977,antarctic,246.3504918696814,-16.239114634573426,-26.79950813031857
1978,arctic,260.86144592755704,9.880602669602716,-12.288554072442935
1978,antarctic,246.4000634215524,-16.14988584120563,-26.749936578447574
1979,arctic,260.8097664748523,9.787579654734223,-12.340233525147653
1979,antarctic,246.9855841403555,-15.095948547360038,-26.164415859644464
1980,arctic,261.5364872054592,11.095676969826592,-11.613512794540782
1980,antarctic,248.6951921382897,-12.01865415107848,-24.454807861710265
1981,arctic,262.2262993119866,12.33733876157596,-10.923700688013355
1981,antarctic,248.2569851065532,-12.807426808204198,-24.893014893446775
1982,arctic,261.0943645006992,10.299856101258626,-12.055635499300763
1982,antarctic,247.5206462529095,-14.132836744762855,-25.629353747090477
1983,arctic,261.46040226603975,10.95872407887159,-11.689597733960227
1983,antarctic,247.63538418067984,-13.926308474776256,-25.51461581932014
1984,arctic,261.8306722267859,11.625210008214673,-11.31932777321407
1984,antarctic,247.87062355560454,-13.502877599911791,-25.27937644439544
1985,arctic,261.7503347823559,11.480602608240623,-11.399665217644099
1985,antarctic,247.26394039760527,-14.59490728431048,-25.88605960239471
1986,arctic,261.2699198915042,10.615855804707554,-11.880080108495804
1986,antarctic,247.47857267853092,-14.208569178644296,-25.671427321469054
1987,arctic,260.79006195159917,9.75211151287855,-12.359938048400807
1987,antarctic,247.40280953541358,-14.344942836255512,-25.747190464586396
1988,arctic,261.55165907338,11.122986332084032,-11.598340926619983
1988,antarctic,248.177350993886,-12.950768211005169,-24.972649006113983
1989,arctic,261.4949384039072,11.020889127033023,-11.655061596092764
1989,antarctic,247.5163699080782,-14.140534165459215,-25.633630091921788
1990,arctic,262.10551687421173,12.119930373581155,-11.044483125788247
1990,antarctic,247.8864823399333,-13.474331788120004,-25.263517660066668
1991,arctic,262.00530936367204,11.939556854609712,-11.144690636327937
1991,antarctic,248.29813719791645,-12.733353043750355,-24.85186280208353
1992,arctic,261.1631760650622,10.423716917112007,-11.986823934937775
1992,antarctic,247.8520643896678,-13.536284098597939,-25.29793561033219
1993,arctic,261.5244817222095,11.074067099977118,-11.62551827779049
1993,antarctic,247.18049744597923,-14.74510459723735,-25.96950255402075
1994,arctic,261.3858228311642,10.82448109609561,-11.764177168835772
1994,antarctic,247.00752223829937,-15.056459971061088,-26.142477761700604
1995,arctic,262.5697279190018,12.955510254203318,-10.580272080998157
1995,antarctic,247.39477909180889,-14.359397634743964,-25.75522090819109
1996,arctic,262.1614382363671,12.220588825460776,-10.988561763632902
1996,antarctic,248.0246852634239,-13.225566525836953,-25.125314736576087
1997,arctic,261.77791223240746,11.530242018333468,-11.372087767592518
1997,antarctic,247.25798017917438,-14.60563567748607,-25.892019820825595
1998,arctic,261.91666491953504,11.779996855163109,-11.23333508046494
1998,antarctic,247.43689892474893,-14.283581935451885,-25.713101075251046
1999,arctic,261.54129432181816,11.104329779272724,-11.60870567818182
1999,antarctic,247.30795473285463,-14.51568148086163,-25.84204526714535
2000,arctic,262.0973065021204,12.105151703816716,-11.052693497879602
2000,antarctic,247.4612725121105,-14.239709478201064,-25.68872748788948
2001,arctic,262.19120747966264,12.274173463392788,-10.95879252033734
2001,antarctic,247.61381830147718,-13.965127057341036,-25.536181698522796
2002,arctic,262.3738748805693,12.602974785024788,-10.776125119430674
2002,antarctic,248.3249636711142,-12.685065391994392,-24.825036328885773
2003,arctic,262.5689143244312,12.954045783976209,-10.581085675568772
2003,antarctic,247.58596071695865,-14.015270709474386,-25.564039283041325
2004,arctic,261.9175957913339,11.781672424401052,-11.232404208666082
2004,antarctic,247.4298179729202,-14.296327648743592,-25.720182027079773
2005,arctic,263.36197310241715,14.381551584350916,-9.788026897582824
2005,antarctic,248.02823191431517,-13.219182554232653,-25.121768085684806
2006,arctic,263.2091474712769,14.106465448298422,-9.940852528723099
2006,antarctic,247.82912976367888,-13.57756642537798,-25.3208702363211
2007,arctic,263.48025869663326,14.594465653939903,-9.66974130336672
2007,antarctic,248.12093347058072,-13.05231975295466,-25.029066529419254
2008,arctic,262.9862617471018,13.705271144783318,-10.163738252898156
2008,antarctic,247.31693277695192,-14.499521001486514,-25.83306722304806
2009,arctic,262.9347343364914,13.612521805684516,-10.215265663508603
2009,antarctic,247.90501699690302,-13.440969405574535,-25.244983003096962
2010,arctic,263.5466041255889,14.713887426060033,-9.603395874411092
2010,antarctic,247.36494193105287,-14.413104524104796,-25.78505806894711
2011,arctic,263.659269747429,14.916685545372228,-9.490730252570984
